Région,Nature,Type,Texte annonce,Prix,Modifiée
Ezzahra,Vente,App. 3 pièc,Appartement s3 hst ezzah,330000.0,2024-04-12
El Mourouj,Vente,App. 2 pièc,Bel appartement mrj 5,90000.0,2024-04-12
Mutuelle Ville,Vente,Maisons,Villa sur artère princip,1950000.0,2024-04-12
Nouvelle Medina,Vente,Maisons,Charmante villa de p,720000.0,2024-04-12
El Menzah 5,Vente,Maisons,Villa spacieuse sur,1500000.0,2024-04-12
El Menzah 5,Vente,Duplex,Spacieux duplex à ré,450000.0,2024-04-12
El Mourouj 2,Vente,App. 4 pièc,Appartement mourouj 2,110000.0,2024-04-12
La Soukra,Vente,Duplex,Duplex s3 avec pisci,950000.0,2024-04-12
Cite Du Stade,Vente,Autre,Réf 80v terrain clôturé aux l,950000.0,2024-04-12
Ezzahra,Vente,Maisons,Villa mongi slim,345000.0,2024-04-12
Nouvelle Medina,Vente,App. 1 pièc,Av s1 à médina jadida,80000.0,2024-04-12
El Aouina,Vente,App. 2 pièc,Réf 92v agréable appartement,192000.0,2024-04-12
Hammamet,Vente,Duplex,Réf 74v une magnifique duplex,650000.0,2024-04-12
Cite El Ghazala,Vente,App. 3 pièc,S2 ghazela 275 md,275000.0,2024-04-12
Borj Cedria,Vente,Autre,Une villa  sur deux étag,620000.0,2024-04-12
Cite Gharnata,Vente,Maisons,Villa de coin au bord de,350000.0,2024-04-12
El Manar 2,Vente,Maisons,Villa 2s7 à el manar 3,1800000.0,2024-04-12
Borj Cedria,Vente,Surfaces,A   terrain pour habitation,400000.0,2024-04-12
Ain Zaghouan,Vente,App. 3 pièc,Appartement s2 à ain,486000.0,2024-04-12
La Soukra,Vente,App. 4 pièc,Un appartement s3 à la s,327000.0,2024-04-12
El Manar 1,Vente,Maisons,Une merveilleuse villa d,750000.0,2024-04-12
Cite Ennasr 1,Vente,App. 2 pièc,S1 de haut standing a en,180000.0,2024-04-12
Le Bardo,Vente,Maisons,Villa jumlee 730 md  le,730000.0,2024-04-12
Bizerte,Vente,App. 2 pièc,Appartement bizerte cent,260000.0,2024-04-12
Soliman,Vente,Maisons,Villa de haute standing,140000.0,2024-04-12
Hammamet,Vente,Autre,Complexe donia v904 hamm,15500000.0,2024-04-12
Nouvelle Medina,Vente,App. 2 pièc,Appartement s2 près show,180000.0,2024-04-12
Cite Ain Mariem,Vente,App. 2 pièc,Appartement ain mariem b,270000.0,2024-04-12
Rades,Vente,App. 2 pièc,Appartement s2 hst à rad,280000.0,2024-04-12
El Aouina,Vente,App. 2 pièc,Bon investissement s plu,185000.0,2024-04-12
