Région,Nature,Type,Texte annonce,Prix,Modifiée,Prix_Catégorie,Somme_Prix,Moyenne_Prix,Type_general,Nombre_de_chambres,Nombre_de_salle_de_bain,surface
Borj Touil,Vente,Maisons,Maisons borj touil,550000.0,2024-04-12,Moyen-Haut,1230000.0,410000.0,Villa,4.0,,300
Kelibia,Vente,Maisons,Merveilleuse villa,380000.0,2024-04-12,Moyen-Bas,2472000.0,353142.85714285716,Maison,3.0,,150
Cite Ennasr 1,Vente,App. 2 pièc,S1 de haut standing a en,180000.0,2024-04-12,Bas,2385000.0,397500.0,Appartement,2.0,,150
Bab Bhar,Vente,Autre,Fond et mur,250000.0,2024-04-12,Moyen-Bas,490000.0,245000.0,Autre,3.0,,150
El Menzah 9,Vente,App. 4 pièc,S3 direct promoteur de h,580000.0,2024-04-12,Moyen-Haut,6768000.0,846000.0,Appartement,4.0,,300
Zaghouan,Vente,Maisons,Villa   tangalle,580000.0,2024-04-12,Moyen-Haut,950000.0,475000.0,Villa,4.0,,300
Nouvelle Medina,Vente,App. 1 pièc,Av s1 à médina jadida,80000.0,2024-04-12,Bas,1088000.0,272000.0,Appartement,1.0,,50
El Mourouj,Vente,Duplex,Duplex retapé a neuf,310000.0,2024-04-12,Moyen-Bas,4922000.0,273444.44444444444,Autre,3.0,,150
La Soukra,Vente,App. 2 pièc,S plus 1 rue de parc tel,340000.0,2024-04-12,Moyen-Bas,16052000.0,697913.0434782609,Appartement,2.0,,150
Midoun,Vente,Maisons,Un bien exceptionnel,1100000.0,2024-04-12,Haut,1100000.0,1100000.0,Villa,5.0,,300
Ben Arous,Vente,App. 2 pièc,S2 près showroom mazda,180000.0,2024-04-12,Bas,770000.0,256666.66666666666,Appartement,2.0,,150
El Menzah 6,Vente,Maisons,Villa de charme au menza,2500000.0,2024-04-12,Haut,3650000.0,1216666.6666666667,Villa,5.0,,300
Ezzahra,Vente,Maisons,Villa mongi slim,345000.0,2024-04-12,Moyen-Bas,1155000.0,385000.0,Maison,3.0,,150
Hammamet,Vente,Maisons,V477 villa le palais nor,1250000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
Cite Ain Meriem,Vente,Maisons,Une villa ain mariem,320000.0,2024-04-12,Moyen-Bas,320000.0,320000.0,Maison,3.0,,150
La Soukra,Vente,App. 3 pièc,S2 à la soukra,395000.0,2024-04-12,Moyen-Bas,16052000.0,697913.0434782609,Appartement,3.0,,150
Hammamet,Vente,Maisons,Villa romance,980000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
La Soukra,Vente,App. 5 pièc,Maison la soukra tel 582,450000.0,2024-04-12,Moyen-Haut,16052000.0,697913.0434782609,Appartement,5.0,,150
Bou Mhel,Vente,App. 1 pièc,Appartement s1 à boumhel bass,155000.0,2024-04-12,Bas,403000.0,201500.0,Appartement,1.0,,150
Nouvelle Medina,Vente,App. 2 pièc,Appartement s2 près show,180000.0,2024-04-12,Bas,1088000.0,272000.0,Appartement,2.0,,150
Ben Arous,Vente,App. 2 pièc,Appart s2  ben arous,170000.0,2024-04-12,Bas,770000.0,256666.66666666666,Appartement,2.0,,150
Khelidia,Vente,Surfaces,Local khelidia,55000.0,2024-04-12,Bas,55000.0,55000.0,Surface,1.0,,50
