Région,Type de bien,Nature,Superficie,Nb_Salles De bain,Nb_Chambres,Prix,Date_De_Modification,Texte Annonce
Nabeul,N/A,À Vendre,200,N/A,N/A,0,2024-12-10,N/A
Sfax,N/A,À Vendre,371,1,3,350000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,255,2,8,170000,2024-12-10,N/A
Nabeul,N/A,À Vendre,260,2,3,1150000,2024-12-10,N/A
Tunis,N/A,À Vendre,100,2,4,220,2024-12-10,N/A
Ariana,N/A,À Vendre,330,1,N/A,480,2024-12-10,N/A
Ben Arous,N/A,À Vendre,900,3,6,1,2024-12-10,N/A
Nabeul,N/A,À Vendre,100,2,2,220000,2024-12-10,N/A
Ariana,N/A,À Vendre,200,0,N/A,135000,2024-12-10,N/A
La Manouba,N/A,À Vendre,200,1,2,175000,2024-12-10,N/A
Sousse,N/A,À Vendre,792,1,3,1800000000,2024-12-10,N/A
Le Kef,N/A,À Vendre,314,1,5,0,2024-12-10,N/A
Ben Arous,N/A,À Vendre,400,0,6,300000,2024-12-10,N/A
Tunis,N/A,À Vendre,325,2,4,670000,2024-12-10,N/A
Ariana,N/A,À Vendre,150,2,3,550000,2024-12-10,N/A
